"BM_prop_naive/0/1/5/8192",5,116.202,116.203,ms,,,,,
"BM_prop_naive/1/1/5/8192",173,4.00644,4.00644,ms,,,,,
"BM_prop_naive/2/1/5/8192",163,4.1401,4.14009,ms,,,,,
"BM_prop_naive/3/1/5/8192",170,4.08447,4.08447,ms,,,,,
"BM_prop_naive/4/1/5/8192",12,74.1993,74.198,ms,,,,,
"BM_prop_naive/5/1/5/8192",22,32.6908,32.6906,ms,,,,,
"BM_prop_naive/6/1/5/8192",27,26.5984,26.5983,ms,,,,,
"BM_prop_naive/7/1/5/8192",64,12.5338,12.5339,ms,,,,,
"BM_prop_naive/8/1/5/8192",27,32.9118,32.9121,ms,,,,,
"BM_prop_naive/9/1/5/8192",1,5535.58,5535.54,ms,,,,,
"BM_prop_naive/10/1/5/8192",1,4298.38,4298.36,ms,,,,,
"BM_prop_naive/11/1/5/8192",2,295.007,295.011,ms,,,,,
"BM_prop_naive/12/1/5/8192",3,273.545,273.55,ms,,,,,
"BM_prop_naive/13/1/5/8192",4,295.234,295.236,ms,,,,,
"BM_prop_naive/14/1/5/8192",145,4.79795,4.79795,ms,,,,,
"BM_prop_naive/15/1/5/8192",4,189.663,189.663,ms,,,,,
"BM_prop_naive/16/1/5/8192",3,170.263,170.262,ms,,,,,
"BM_prop_naive/17/1/5/8192",10,72.9472,72.9471,ms,,,,,
"BM_prop_naive/18/1/5/8192",14,54.3392,54.3402,ms,,,,,
"BM_prop_naive/19/1/5/8192",25,28.6481,28.6478,ms,,,,,
"BM_prop_naive/20/1/5/8192",8,185.711,185.707,ms,,,,,
"BM_prop_naive/21/1/5/8192",2,436.695,436.696,ms,,,,,
"BM_prop_naive/22/1/5/8192",1,13511.2,13511,ms,,,,,
"BM_prop_naive/23/1/5/8192",31,24.3802,24.3804,ms,,,,,
"BM_prop_naive/24/1/5/8192",31,25.7551,25.7546,ms,,,,,
"BM_prop_naive/25/1/5/8192",46,15.638,15.6382,ms,,,,,
"BM_prop_naive/26/1/5/8192",45,16.4863,16.4861,ms,,,,,
"BM_prop_naive/27/1/5/8192",12,65.7451,65.7457,ms,,,,,
"BM_prop_naive/28/1/5/8192",97,62.9844,62.9835,ms,,,,,
"BM_prop_naive/29/1/5/8192",76,8.06871,8.0685,ms,,,,,
